,team,YUSAG_coef
75,UC Davis,21.836951724173243
76,DUKE,21.698025773045313
77,PITT,20.225735036578648
78,Illinois St.,20.13295557088075
79,CMU,20.12873537725981
80,NIU,19.61912699451735
81,Dartmouth,19.121818286043126
82,Kennesaw St.,18.702047995786753
83,UNI,18.619957125349472
84,MTSU,18.560948751005036
85,CCU,18.550956148380944
86,UNC,17.857667384803467
87,SMU,17.64630417625067
88,AKRON,16.81841770686254
89,Weber St.,16.62769633542987
90,UNLV,16.523500700853553
91,IDHO,16.03825554020699
92,ORST,15.90546325933584
93,ULL,15.669650258384417
94,IND,15.33468657319437
95,GAST,15.243738916270642
96,Western Ill.,15.216742068248761
97,KSU,14.883837426211752
98,HAW,14.816783300226904
99,TLSA,14.673375434382063
100,Colgate,14.597224335100563
101,SJSU,14.563622923907879
102,M-OH,14.00102105516404
103,Stony Brook,13.257959578809176
104,GASO,13.131367370844522
105,BUFF,12.96535965896372
106,Nicholls St.,12.957403698716146
107,ARMY,12.948109914067095
108,AKR,12.677466737117081
109,Maine,12.40135559784156
110,UCONN,12.358372114248489
111,Montana,11.78854179419072
112,USA,11.775695653481284
113,Coastal Caro.,11.753612835462857
114,Towson,11.486413514400642
115,MTST,11.432082272316393
116,Jacksonville St.,11.12911188924106
117,Samford,11.097780974912377
118,Youngstown St.,10.822360232512507
119,FAU,10.359082892411182
120,Delaware,10.283234324809904
121,KU,10.128408939908345
122,Harvard,10.061913149072192
123,South Dakota,10.055068922940855
124,NAVY,9.508680896432889
125,Elon,8.857753981039437
126,ARST,8.71052458835696
127,WYO,8.699799320466843
128,FIU,8.68738375949043
129,Wofford,8.660801032560565
130,Indiana St.,8.566052762723169
131,North Dakota,8.171174990042807
132,Rhode Island,7.66023351721507
133,Idaho St.,7.632918634021503
134,New Hampshire,6.987556321393915
135,Yale,6.603589687864127
136,Villanova,6.427415421140629
137,WKU,6.419220912842265
138,Furman,6.168445312258214
139,Southern Ill.,5.9889249756109315
140,Central Ark.,5.979301990882563
141,Montana St.,5.958756485123073
142,CSU,5.515764769726569
143,Southeast Mo. St.,5.237814865077039
144,NMSU,5.178215455623168
145,Liberty,5.10643049486522
146,Sam Houston St.,4.537918594989221
147,N.C. A&T,4.415338444724963
148,MRSH,4.2887327419157115
149,Incarnate Word,4.0270531120900825
150,IDAHO,3.516261846015214
151,CONN,2.95066841964201
152,TEM,2.8514371114667303
153,Lamar University,2.692785323444746
154,The Citadel,2.284561345428544
155,Cal Poly,2.0436786646948866
156,CHAR,1.9989781230165777
157,Abilene Christian,1.8573964994283436
158,WFLA,1.6867735824649701
159,Northern Ariz.,1.5895154185392029
160,Chattanooga,1.3347529130095068
161,Portland St.,1.1146011059911416
162,Mercer,0.6916865307179986
163,Missouri St.,0.504342005370104
164,McNeese,0.19063632061530741
165,VAN,-0.1789014057974267
166,San Diego,-0.9276834377765427
167,Richmond,-1.0227727707616212
168,ISU,-1.157790567491827
169,Columbia,-1.1798019493856395
170,Penn,-1.3499403196195428
171,ULM,-1.3726195680042925
172,OHIO,-1.5929772106813107
173,Holy Cross,-1.739275520485881
174,ECU,-1.9753288846172874
175,Southeastern La.,-2.0889746489891317
176,William & Mary,-2.1816136658155876
177,Southern Utah,-2.440825321799033
178,Alcorn,-2.5290097746579274
179,Albany (NY),-2.6794708815725987
180,ETSU,-2.6940746929532873
181,NGR,-2.9789673060656585
182,Northern Colo.,-3.056537093306884
183,Southern U.,-3.0942267991484074
184,UT Martin,-3.1277448375934176
185,Sacramento St.,-3.542534285390584
186,Duquesne,-3.6255951077058803
187,Northwestern St.,-3.9079650967777457
188,RICE,-4.028438022555808
189,BGSU,-4.061213931376624
190,Cornell,-4.116599284536649
191,Central Conn. St.,-4.454876039382061
192,Austin Peay,-4.596753113461587
193,Sacred Heart,-4.631151507200531
194,Prairie View,-4.7484798396373735
