North Texas,Incarnate Word
Western Ky.,Maine
Illinois St.,Eastern Ill.
Tulane,Nicholls St.
Oregon St.,Southern Utah
South Dakota St.,Sacramento St.
Cal Poly,Weber St.
UC Davis,San Diego
Washington,North Dakota
Virginia Tech,William & Mary
West Virginia,Youngstown St.
UCF,South Carolina St.
Miami (FL),Savannah St.
Oregon,Portland St.
Duquesne,Valparaiso
Robert Morris,0
Saint Francis (PA),Delaware St.
Wake Forest,Towson
Lehigh,Villanova
Georgetown,Campbell
Boston College,Holy Cross
Rhode Island,Albany (NY)
Southeast Mo. St.,Dayton
Montana,Drake
Monmouth,Hampton
South Dakota,Northern Colo.
